 170 | 03/27/2022 | 11:52:38 AM UTC | System Event | OEM System boot event | Asserted
 171 | 03/27/2022 | 11:55:09 AM UTC | Power Unit #0xff | Power off/down | Asserted
 172 | 03/27/2022 | 11:55:31 AM UTC | Power Unit #0xff | Power off/down | Asserted
 173 | 03/27/2022 | 11:56:33 AM UTC | System Event | OEM System boot event | Asserted
 174 | 03/27/2022 | 11:56:57 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 175 | 03/27/2022 | 11:58:31 AM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 176 | 03/27/2022 | 01:01:57 PM UTC | System Event | OEM System boot event | Asserted
 177 | 03/27/2022 | 01:02:36 PM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 178 | 03/27/2022 | 01:04:08 PM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 179 | 03/28/2022 | 02:13:21 AM UTC | System Event | OEM System boot event | Asserted
 17a | 03/28/2022 | 02:13:59 AM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 17b | 03/28/2022 | 02:15:25 AM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 17c | 03/29/2022 | 03:09:43 PM UTC | System Event | OEM System boot event | Asserted
 17d | 03/29/2022 | 03:10:13 PM UTC | System Event | Timestamp Clock Sync | Asserted
 17e | 03/29/2022 | 03:10:13 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 17f | 03/29/2022 | 03:10:18 PM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 180 | 03/29/2022 | 03:10:19 PM UTC | System Event | Timestamp Clock Sync | Asserted
 181 | 03/29/2022 | 03:10:28 PM UTC | System Firmwares | Unrecoverable video controller failure | Asserted
 182 | 03/29/2022 | 03:11:56 PM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
